,agent,id,environment,horizons,t,Edistance
0,gpt,0,smooth,5,1.0,1.2
1,gpt,1,rough,5,0.6,1.0
2,gpt,2,rough,5,0.8,1.6
3,gpt,3,rough,5,0.0,1.4
4,gpt,4,rough,5,0.2,1.2
5,gpt,5,rough,5,0.4,1.0
6,gpt,6,rough,5,0.6,1.0
7,gpt,7,rough,5,0.8,1.2
8,gpt,8,rough,5,0.0,1.2
9,gpt,9,rough,5,0.2,1.2
10,gpt,10,rough,5,0.4,1.6
11,gpt,11,rough,10,0.2,1.2
12,gpt,12,rough,5,0.6,2.6
13,gpt,13,rough,5,0.8,1.4
14,gpt,14,rough,5,0.0,1.2
15,gpt,15,rough,5,0.2,1.2
16,gpt,16,rough,5,0.4,1.0
17,gpt,17,rough,5,0.6,1.2
18,gpt,18,rough,5,0.8,1.4
19,gpt,19,rough,5,0.0,1.0
20,gpt,20,rough,5,0.2,1.2
21,gpt,21,rough,5,0.4,1.0
22,gpt,22,rough,10,0.4,1.0
23,gpt,23,rough,5,0.6,1.4
24,gpt,24,rough,5,0.8,1.2
25,gpt,25,rough,5,0.0,1.0
26,gpt,26,rough,5,0.2,1.0
27,gpt,27,rough,5,0.4,1.8
28,gpt,28,rough,5,0.6,2.2
29,gpt,29,rough,5,0.8,1.0
30,gpt,30,rough,5,0.0,1.6
31,gpt,31,smooth,10,1.0,1.5
32,gpt,32,rough,5,0.2,1.0
33,gpt,33,rough,10,0.0,1.4
34,gpt,34,rough,5,0.4,1.4
35,gpt,35,rough,5,0.6,1.2
36,gpt,36,rough,5,0.8,1.2
37,gpt,37,rough,5,0.0,2.0
38,gpt,38,rough,5,0.2,1.2
39,gpt,39,rough,5,0.4,1.2
40,gpt,40,rough,5,0.6,1.2
41,gpt,41,rough,5,0.8,1.0
42,gpt,42,rough,5,0.0,2.0
43,gpt,43,rough,5,0.2,1.0
44,gpt,44,rough,10,0.2,1.1
45,gpt,45,rough,5,0.4,1.6
46,gpt,46,rough,5,0.6,1.2
47,gpt,47,rough,5,0.8,1.0
48,gpt,48,rough,5,0.0,2.2
49,gpt,49,rough,5,0.2,1.2
50,gpt,50,rough,5,0.4,1.4
51,gpt,51,rough,5,0.6,1.2
52,gpt,52,rough,5,0.8,1.6
53,gpt,53,rough,5,0.0,1.2
54,gpt,54,rough,5,0.2,2.2
55,gpt,55,rough,10,0.4,1.4
56,gpt,56,rough,5,0.4,1.6
57,gpt,57,rough,5,0.6,1.4
58,gpt,58,rough,5,0.8,1.2
59,gpt,59,rough,5,0.0,1.0
60,gpt,60,rough,5,0.2,1.0
61,gpt,61,rough,5,0.4,1.6
62,gpt,62,rough,5,0.6,1.0
63,gpt,63,rough,5,0.8,1.6
64,gpt,64,rough,5,0.0,1.0
65,gpt,65,rough,5,0.2,1.4
66,gpt,66,rough,10,0.0,1.3
67,gpt,67,rough,5,0.4,1.0
