,trials,x,z,z_scaled,kernel,globalmax,t,id,environment,horizons,agent,Edistance
0,0,15,23.62844068458762,16,21,70,1.0,0,smooth,5,per_gpt,-1
1,1,14,13.34342224938988,9,21,70,1.0,0,smooth,5,per_gpt,1
2,2,16,26.871526817621028,19,21,70,1.0,0,smooth,5,per_gpt,2
3,3,17,27.5684853197727,18,21,70,1.0,0,smooth,5,per_gpt,1
4,4,18,41.93650508709031,31,21,70,1.0,0,smooth,5,per_gpt,1
5,5,19,72.44581018898775,50,21,70,1.0,0,smooth,5,per_gpt,1
6,0,1,23.24227532396827,19,39,73,0.6,1,rough,5,per_gpt,-1
7,1,2,19.84737685939584,14,39,73,0.6,1,rough,5,per_gpt,1
8,2,3,35.07404596018232,27,39,73,0.6,1,rough,5,per_gpt,1
9,3,4,52.92811322108019,35,39,73,0.6,1,rough,5,per_gpt,1
10,4,5,69.89511580656345,50,39,73,0.6,1,rough,5,per_gpt,1
11,5,6,75.67865446378538,54,39,73,0.6,1,rough,5,per_gpt,1
12,0,20,14.581749675322689,9,7,65,0.8,2,rough,5,per_gpt,-1
13,1,19,35.838997480669235,23,7,65,0.8,2,rough,5,per_gpt,1
14,2,18,45.23250166391161,29,7,65,0.8,2,rough,5,per_gpt,1
15,3,17,28.89993800989493,18,7,65,0.8,2,rough,5,per_gpt,1
16,4,21,56.220827971697474,35,7,65,0.8,2,rough,5,per_gpt,4
17,5,22,100.0,66,7,65,0.8,2,rough,5,per_gpt,1
18,0,20,43.32266864186181,27,13,62,0.0,3,rough,5,per_gpt,-1
19,1,19,58.51194569000771,37,13,62,0.0,3,rough,5,per_gpt,1
20,2,21,23.27137117284284,15,13,62,0.0,3,rough,5,per_gpt,2
21,3,19,58.51194569000771,36,13,62,0.0,3,rough,5,per_gpt,2
22,4,18,98.98779651100205,63,13,62,0.0,3,rough,5,per_gpt,1
23,5,17,100.0,61,13,62,0.0,3,rough,5,per_gpt,1
24,0,10,56.88995775163305,40,33,70,0.2,4,rough,5,per_gpt,-1
25,1,11,86.05779054676186,58,33,70,0.2,4,rough,5,per_gpt,1
26,2,12,70.99794034296423,48,33,70,0.2,4,rough,5,per_gpt,1
27,3,13,30.6270934850429,21,33,70,0.2,4,rough,5,per_gpt,1
28,4,11,86.05779054676186,61,33,70,0.2,4,rough,5,per_gpt,2
29,5,12,70.99794034296423,51,33,70,0.2,4,rough,5,per_gpt,1
30,0,14,13.78547921502408,8,27,64,0.4,5,rough,5,per_gpt,-1
31,1,15,38.9657025584171,26,27,64,0.4,5,rough,5,per_gpt,1
32,2,16,62.21130365145547,39,27,64,0.4,5,rough,5,per_gpt,1
33,3,17,75.55603954098976,48,27,64,0.4,5,rough,5,per_gpt,1
34,4,18,100.0,64,27,64,0.4,5,rough,5,per_gpt,1
35,5,19,83.7687101803423,55,27,64,0.4,5,rough,5,per_gpt,1
36,0,20,26.74867256128164,16,17,66,0.6,6,rough,5,per_gpt,-1
37,1,19,59.571316710318754,41,17,66,0.6,6,rough,5,per_gpt,1
38,2,18,72.26091630829404,48,17,66,0.6,6,rough,5,per_gpt,1
39,3,17,90.4191021346332,59,17,66,0.6,6,rough,5,per_gpt,1
40,4,16,74.57633852229868,51,17,66,0.6,6,rough,5,per_gpt,1
41,5,15,45.75577789159396,30,17,66,0.6,6,rough,5,per_gpt,1
42,0,23,23.23678397811582,14,6,73,0.8,7,rough,5,per_gpt,-1
43,1,22,15.20783413885547,10,6,73,0.8,7,rough,5,per_gpt,1
44,2,24,65.90812806609082,48,6,73,0.8,7,rough,5,per_gpt,2
45,3,25,100.0,74,6,73,0.8,7,rough,5,per_gpt,1
46,4,26,97.63356965186142,73,6,73,0.8,7,rough,5,per_gpt,1
47,5,25,100.0,71,6,73,0.8,7,rough,5,per_gpt,1
48,0,20,48.79354979703924,34,6,71,0.0,8,rough,5,per_gpt,-1
49,1,19,81.79174035888768,59,6,71,0.0,8,rough,5,per_gpt,1
50,2,18,99.3617036115647,69,6,71,0.0,8,rough,5,per_gpt,1
51,3,17,66.95509431437915,46,6,71,0.0,8,rough,5,per_gpt,1
52,4,19,81.79174035888768,58,6,71,0.0,8,rough,5,per_gpt,2
53,5,18,99.3617036115647,69,6,71,0.0,8,rough,5,per_gpt,1
54,0,5,23.51463942095936,15,30,65,0.2,9,rough,5,per_gpt,-1
55,1,6,53.51885397760904,33,30,65,0.2,9,rough,5,per_gpt,1
56,2,7,40.32828840409943,26,30,65,0.2,9,rough,5,per_gpt,1
57,3,8,16.07840037449257,11,30,65,0.2,9,rough,5,per_gpt,1
58,4,6,53.51885397760904,33,30,65,0.2,9,rough,5,per_gpt,2
59,5,7,40.32828840409943,26,30,65,0.2,9,rough,5,per_gpt,1
60,0,13,69.90578638337398,42,13,61,0.4,10,rough,5,per_gpt,-1
61,1,14,85.73016022569281,53,13,61,0.4,10,rough,5,per_gpt,1
62,2,15,60.98707450014589,35,13,61,0.4,10,rough,5,per_gpt,1
63,3,16,51.13021142354829,33,13,61,0.4,10,rough,5,per_gpt,1
64,4,12,54.873846046833386,35,13,61,0.4,10,rough,5,per_gpt,4
65,5,11,39.74357194767751,24,13,61,0.4,10,rough,5,per_gpt,1
66,0,20,25.17163658181758,18,38,74,0.2,11,rough,10,per_gpt,-1
67,1,19,34.08896701244219,24,38,74,0.2,11,rough,10,per_gpt,1
68,2,21,19.38193418110108,14,38,74,0.2,11,rough,10,per_gpt,2
69,3,22,70.52420838792563,53,38,74,0.2,11,rough,10,per_gpt,1
70,4,23,57.30206631586978,43,38,74,0.2,11,rough,10,per_gpt,1
71,5,24,32.99642177646217,26,38,74,0.2,11,rough,10,per_gpt,1
72,6,22,70.52420838792563,53,38,74,0.2,11,rough,10,per_gpt,2
73,7,23,57.30206631586978,42,38,74,0.2,11,rough,10,per_gpt,1
74,8,22,70.52420838792563,52,38,74,0.2,11,rough,10,per_gpt,1
75,9,23,57.30206631586978,42,38,74,0.2,11,rough,10,per_gpt,1
76,10,22,70.52420838792563,51,38,74,0.2,11,rough,10,per_gpt,1
77,0,16,85.94131523194399,51,1,60,0.6,12,rough,5,per_gpt,-1
78,1,17,68.23647950374722,40,1,60,0.6,12,rough,5,per_gpt,1
79,2,15,86.7918144280984,52,1,60,0.6,12,rough,5,per_gpt,2
80,3,18,20.05357558954023,16,1,60,0.6,12,rough,5,per_gpt,3
81,4,15,86.7918144280984,52,1,60,0.6,12,rough,5,per_gpt,3
82,5,19,0.0,0,1,60,0.6,12,rough,5,per_gpt,4
83,0,6,70.9810145746377,55,15,75,0.8,13,rough,5,per_gpt,-1
84,1,7,76.58262245616496,58,15,75,0.8,13,rough,5,per_gpt,1
