x,z,z_scaled,kernel,globalmax,horizons,environment,id,trials,agent,Edistance
4,93,76,9,76,5,rough,0,0,human,-1
5,74,61,9,76,5,rough,0,1,human,1
3,78,64,9,76,5,rough,0,2,human,2
6,49,42,9,76,5,rough,0,3,human,3
2,58,49,9,76,5,rough,0,4,human,4
11,23,22,9,76,5,rough,0,5,human,9
2,91,65,37,66,10,rough,0,0,human,-1
3,95,68,37,66,10,rough,0,1,human,1
1,53,40,37,66,10,rough,0,2,human,2
9,7,10,37,66,10,rough,0,3,human,8
17,69,51,37,66,10,rough,0,4,human,8
18,45,35,37,66,10,rough,0,5,human,1
16,74,54,37,66,10,rough,0,6,human,2
14,65,48,37,66,10,rough,0,7,human,2
23,90,64,37,66,10,rough,0,8,human,9
22,73,53,37,66,10,rough,0,9,human,1
23,91,65,37,66,10,rough,0,10,human,1
22,41,37,28,77,5,rough,0,0,human,-1
13,33,30,28,77,5,rough,0,1,human,9
7,81,67,28,77,5,rough,0,2,human,6
8,94,77,28,77,5,rough,0,3,human,1
6,35,32,28,77,5,rough,0,4,human,2
9,68,57,28,77,5,rough,0,5,human,3
16,40,34,31,73,10,rough,0,0,human,-1
5,98,77,31,73,10,rough,0,1,human,11
6,66,53,31,73,10,rough,0,2,human,1
4,102,79,31,73,10,rough,0,3,human,2
3,49,41,31,73,10,rough,0,4,human,1
22,28,25,31,73,10,rough,0,5,human,19
29,49,41,31,73,10,rough,0,6,human,7
26,56,46,31,73,10,rough,0,7,human,3
12,81,64,31,73,10,rough,0,8,human,14
11,49,41,31,73,10,rough,0,9,human,1
13,69,55,31,73,10,rough,0,10,human,2
19,29,26,33,71,5,rough,0,0,human,-1
8,52,42,33,71,5,rough,0,1,human,11
3,55,44,33,71,5,rough,0,2,human,5
24,45,37,33,71,5,rough,0,3,human,21
29,42,35,33,71,5,rough,0,4,human,5
15,61,48,33,71,5,rough,0,5,human,14
16,57,44,12,68,10,rough,0,0,human,-1
9,39,32,12,68,10,rough,0,1,human,7
4,56,43,12,68,10,rough,0,2,human,5
21,31,26,12,68,10,rough,0,3,human,17
26,0,5,12,68,10,rough,0,4,human,5
1,12,13,12,68,10,rough,0,5,human,25
6,6,9,12,68,10,rough,0,6,human,5
12,32,27,12,68,10,rough,0,7,human,6
18,46,36,12,68,10,rough,0,8,human,6
23,26,23,12,68,10,rough,0,9,human,5
17,24,21,12,68,10,rough,0,10,human,6
2,46,36,25,68,5,rough,0,0,human,-1
9,64,49,25,68,5,rough,0,1,human,7
16,99,72,25,68,5,rough,0,2,human,7
17,79,59,25,68,5,rough,0,3,human,1
15,65,49,25,68,5,rough,0,4,human,2
17,78,58,25,68,5,rough,0,5,human,2
9,99,66,10,62,10,rough,0,0,human,-1
10,99,66,10,62,10,rough,0,1,human,1
8,51,37,10,62,10,rough,0,2,human,2
11,54,38,10,62,10,rough,0,3,human,3
15,101,68,10,62,10,rough,0,4,human,4
16,51,37,10,62,10,rough,0,5,human,1
14,61,43,10,62,10,rough,0,6,human,2
19,39,29,10,62,10,rough,0,7,human,5
23,63,44,10,62,10,rough,0,8,human,4
27,57,40,10,62,10,rough,0,9,human,4
2,11,12,10,62,10,rough,0,10,human,25
14,32,29,22,75,5,rough,0,0,human,-1
5,40,35,22,75,5,rough,0,1,human,9
2,61,51,22,75,5,rough,0,2,human,3
21,76,62,22,75,5,rough,0,3,human,19
22,42,37,22,75,5,rough,0,4,human,1
20,84,68,22,75,5,rough,0,5,human,2
4,33,25,2,62,10,rough,0,0,human,-1
13,43,32,2,62,10,rough,0,1,human,9
24,65,45,2,62,10,rough,0,2,human,11
21,42,31,2,62,10,rough,0,3,human,3
7,100,67,2,62,10,rough,0,4,human,14
8,71,49,2,62,10,rough,0,5,human,1
6,92,62,2,62,10,rough,0,6,human,2
5,63,44,2,62,10,rough,0,7,human,1
2,27,22,2,62,10,rough,0,8,human,3
0,70,48,2,62,10,rough,0,9,human,2
29,54,38,2,62,10,rough,0,10,human,29
29,15,14,5,60,5,rough,0,0,human,-1
7,82,54,5,60,5,rough,0,1,human,22
13,50,35,5,60,5,rough,0,2,human,6
6,60,41,5,60,5,rough,0,3,human,7
8,81,54,5,60,5,rough,0,4,human,2
3,76,51,5,60,5,rough,0,5,human,5
10,45,33,14,62,10,rough,0,0,human,-1
20,49,35,14,62,10,rough,0,1,human,10
25,55,39,14,62,10,rough,0,2,human,5
14,1,6,14,62,10,rough,0,3,human,11
3,29,23,14,62,10,rough,0,4,human,11
0,10,11,14,62,10,rough,0,5,human,3
7,44,32,14,62,10,rough,0,6,human,7
28,18,16,14,62,10,rough,0,7,human,21
29,10,11,14,62,10,rough,0,8,human,1
17,65,45,14,62,10,rough,0,9,human,12
18,48,35,14,62,10,rough,0,10,human,1
11,51,40,36,68,5,rough,0,0,human,-1
12,47,37,36,68,5,rough,0,1,human,1
7,63,48,36,68,5,rough,0,2,human,5
4,51,40,36,68,5,rough,0,3,human,3
21,64,49,36,68,5,rough,0,4,human,17
22,69,52,36,68,5,rough,0,5,human,1
29,70,57,23,74,10,rough,0,0,human,-1
28,94,75,23,74,10,rough,0,1,human,1
27,87,69,23,74,10,rough,0,2,human,1
26,71,58,23,74,10,rough,0,3,human,1
25,93,74,23,74,10,rough,0,4,human,1
24,99,78,23,74,10,rough,0,5,human,1
23,70,57,23,74,10,rough,0,6,human,1
22,55,46,23,74,10,rough,0,7,human,1
21,54,45,23,74,10,rough,0,8,human,1
20,55,46,23,74,10,rough,0,9,human,1
19,46,39,23,74,10,rough,0,10,human,1
19,35,31,11,74,5,rough,0,0,human,-1
14,36,32,11,74,5,rough,0,1,human,5
9,47,40,11,74,5,rough,0,2,human,5
6,58,48,11,74,5,rough,0,3,human,3
5,96,76,11,74,5,rough,0,4,human,1
4,70,57,11,74,5,rough,0,5,human,1
29,40,31,39,66,10,rough,0,0,human,-1
17,63,47,39,66,10,rough,0,1,human,12
11,59,44,39,66,10,rough,0,2,human,6
8,66,49,39,66,10,rough,0,3,human,3
4,70,51,39,66,10,rough,0,4,human,4
3,54,41,39,66,10,rough,0,5,human,1
5,76,55,39,66,10,rough,0,6,human,2
6,54,41,39,66,10,rough,0,7,human,1
0,23,20,39,66,10,rough,0,8,human,6
1,21,19,39,66,10,rough,0,9,human,1
2,34,27,39,66,10,rough,0,10,human,1
22,91,65,11,66,10,rough,1,0,human,20
23,55,41,11,66,10,rough,1,1,human,1
21,99,70,11,66,10,rough,1,2,human,2
20,65,48,11,66,10,rough,1,3,human,1
16,34,27,11,66,10,rough,1,4,human,4
4,72,53,11,66,10,rough,1,5,human,12
3,32,26,11,66,10,rough,1,6,human,1
5,96,68,11,66,10,rough,1,7,human,2
6,58,43,11,66,10,rough,1,8,human,1
13,23,20,11,66,10,rough,1,9,human,7
10,23,20,11,66,10,rough,1,10,human,3
27,56,45,38,72,5,rough,1,0,human,-1
26,56,45,38,72,5,rough,1,1,human,1
25,59,47,38,72,5,rough,1,2,human,1
24,40,34,38,72,5,rough,1,3,human,1
28,81,63,38,72,5,rough,1,4,human,4
29,100,77,38,72,5,rough,1,5,human,1
0,51,44,35,77,10,rough,1,0,human,-1
1,66,56,35,77,10,rough,1,1,human,1
2,69,58,35,77,10,rough,1,2,human,1
3,72,60,35,77,10,rough,1,3,human,1
4,68,57,35,77,10,rough,1,4,human,1
11,37,33,35,77,10,rough,1,5,human,7
12,26,25,35,77,10,rough,1,6,human,1
10,42,37,35,77,10,rough,1,7,human,2
7,46,40,35,77,10,rough,1,8,human,3
19,99,81,35,77,10,rough,1,9,human,12
20,82,68,35,77,10,rough,1,10,human,1
3,86,60,8,64,5,rough,1,0,human,-1
4,55,40,8,64,5,rough,1,1,human,1
2,99,68,8,64,5,rough,1,2,human,2
1,82,57,8,64,5,rough,1,3,human,1
13,45,34,8,64,5,rough,1,4,human,12
14,27,22,8,64,5,rough,1,5,human,1
27,56,48,14,76,10,rough,1,0,human,-1
26,53,45,14,76,10,rough,1,1,human,1
28,18,19,14,76,10,rough,1,2,human,2
11,38,34,14,76,10,rough,1,3,human,17
16,78,64,14,76,10,rough,1,4,human,5
17,68,57,14,76,10,rough,1,5,human,1
15,41,36,14,76,10,rough,1,6,human,2
22,100,81,14,76,10,rough,1,7,human,7
21,87,71,14,76,10,rough,1,8,human,1
23,96,78,14,76,10,rough,1,9,human,2
24,84,69,14,76,10,rough,1,10,human,1
12,94,76,3,75,5,rough,1,0,human,-1
11,99,79,3,75,5,rough,1,1,human,1
10,98,79,3,75,5,rough,1,2,human,1
9,66,55,3,75,5,rough,1,3,human,1
13,77,63,3,75,5,rough,1,4,human,4
14,67,55,3,75,5,rough,1,5,human,1
0,42,35,36,72,10,rough,1,0,human,-1
3,42,35,36,72,10,rough,1,1,human,3
8,70,55,36,72,10,rough,1,2,human,5
6,65,52,36,72,10,rough,1,3,human,2
9,92,71,36,72,10,rough,1,4,human,3
10,73,58,36,72,10,rough,1,5,human,1
15,77,60,36,72,10,rough,1,6,human,5
14,50,41,36,72,10,rough,1,7,human,1
16,86,67,36,72,10,rough,1,8,human,2
17,87,68,36,72,10,rough,1,9,human,1
18,100,77,36,72,10,rough,1,10,human,1
18,60,51,33,77,5,rough,1,0,human,-1
17,73,61,33,77,5,rough,1,1,human,1
16,47,41,33,77,5,rough,1,2,human,1
10,87,72,33,77,5,rough,1,3,human,6
9,56,48,33,77,5,rough,1,4,human,1
11,72,60,33,77,5,rough,1,5,human,2
21,40,30,2,62,10,rough,1,0,human,-1
12,22,19,2,62,10,rough,1,1,human,9
15,-1,4,2,62,10,rough,1,2,human,3
18,23,19,2,62,10,rough,1,3,human,3
24,62,43,2,62,10,rough,1,4,human,6
27,49,35,2,62,10,rough,1,5,human,3
6,94,63,2,62,10,rough,1,6,human,21
5,66,46,2,62,10,rough,1,7,human,1
7,100,67,2,62,10,rough,1,8,human,2
