,agent,id,environment,t,z
0,per_gpt,0,smooth,0.2,60.478789262130114
1,per_gpt,1,smooth,0.4,43.909194245441206
2,per_gpt,2,smooth,0.6,27.660216982235855
3,per_gpt,3,smooth,0.8,17.972739021979493
4,per_gpt,4,smooth,0.0,71.79492552546228
5,per_gpt,5,smooth,1.0,34.29903172457488
6,per_gpt,6,smooth,0.2,36.50495999416358
7,per_gpt,7,smooth,0.4,54.10191955764374
8,per_gpt,8,smooth,0.6,70.0882771010004
9,per_gpt,9,smooth,0.8,60.744170690039226
10,per_gpt,10,smooth,0.0,48.85719853452019
11,per_gpt,11,rough,1.0,40.43486043586833
12,per_gpt,12,smooth,0.2,57.553960332519026
13,per_gpt,13,smooth,0.4,22.097922603046126
14,per_gpt,14,smooth,0.6,61.71877910296619
15,per_gpt,15,smooth,0.8,82.68763029317326
16,per_gpt,16,smooth,0.0,50.63178018060708
17,per_gpt,17,smooth,1.0,45.430197214071406
18,per_gpt,18,smooth,0.2,45.54127502650589
19,per_gpt,19,smooth,0.4,44.094956835406315
20,per_gpt,20,smooth,0.6,59.92531802158874
21,per_gpt,21,smooth,0.8,68.4366532435078
22,per_gpt,22,smooth,0.0,19.86926387032506
23,per_gpt,23,smooth,0.2,44.87782446888256
24,per_gpt,24,smooth,0.4,52.50733934913851
25,per_gpt,25,smooth,0.6,64.47179659444092
26,per_gpt,26,smooth,0.8,65.724989873644
27,per_gpt,27,smooth,0.0,54.43368677531806
28,per_gpt,28,smooth,1.0,71.23349436068803
29,per_gpt,29,smooth,0.2,42.42134489433965
30,per_gpt,30,smooth,0.4,49.94439523952203
31,per_gpt,31,smooth,0.6,39.46424601964723
32,per_gpt,32,smooth,0.8,48.94500664279799
33,per_gpt,33,smooth,0.0,25.3932840331606
34,per_gpt,34,smooth,1.0,73.32303107762687
35,per_gpt,35,smooth,0.2,50.321123934294285
36,per_gpt,36,smooth,0.4,72.22234828278364
37,per_gpt,37,smooth,0.6,68.11542011438434
38,per_gpt,38,smooth,0.8,55.35179707093773
39,per_gpt,39,smooth,0.0,76.25585398284962
40,per_gpt,40,rough,1.0,45.671661937678415
41,per_gpt,41,smooth,0.2,83.30736486279956
42,per_gpt,42,smooth,0.4,80.74437124724558
43,per_gpt,43,smooth,0.6,30.922878198521587
44,per_gpt,44,smooth,0.8,46.19617307700492
45,per_gpt,45,smooth,0.0,74.93403043613118
46,per_gpt,46,rough,1.0,53.43467879543932
47,per_gpt,47,smooth,0.2,51.5114493263188
48,per_gpt,48,smooth,0.4,59.948010279049775
49,per_gpt,49,smooth,0.6,34.24907755323502
50,per_gpt,50,smooth,0.8,22.097922603046126
51,per_gpt,51,smooth,0.0,29.50619497578931
52,per_gpt,52,smooth,1.0,30.7246605842609
53,per_gpt,53,smooth,0.2,63.70883210457182
54,per_gpt,54,smooth,0.4,53.36938484094449
55,per_gpt,55,smooth,0.6,45.339236624381016
56,per_gpt,56,smooth,0.8,56.79841372718524
57,per_gpt,57,smooth,0.0,55.837666945914584
58,per_gpt,58,smooth,0.2,54.16934391307017
59,per_gpt,59,smooth,0.4,50.58045132634408
60,per_gpt,60,smooth,0.6,63.07544017326693
61,per_gpt,61,smooth,0.8,25.3932840331606
62,per_gpt,62,smooth,0.0,64.95666524165794
63,per_gpt,63,rough,1.0,59.4175694208137
64,per_gpt,64,smooth,0.2,22.5551408186801
65,per_gpt,65,smooth,0.4,55.706715813182655
66,per_gpt,66,smooth,0.6,33.042558226560715
67,per_gpt,67,smooth,0.8,32.07348806855675
68,per_gpt,68,smooth,0.0,62.54562419906524
69,per_gpt,69,rough,1.0,52.520237406693354
