,trials,x,z,kernel,environment,agent,grid,horizons
0,1,3,59.18715728401014,0,smooth,random,0,5
0,2,11,91.81612413089759,0,smooth,random,0,5
0,3,28,65.94374222987237,0,smooth,random,0,5
0,4,21,25.72986281251589,0,smooth,random,0,5
0,5,12,76.35794406028204,0,smooth,random,0,5
0,1,4,29.088118294566513,0,smooth,random,1,5
0,2,1,70.7726114755007,0,smooth,random,1,5
0,3,14,56.436793175687185,0,smooth,random,1,5
0,4,17,41.997934970512354,0,smooth,random,1,5
0,5,19,5.083711560288403,0,smooth,random,1,5
0,1,7,24.047814360533465,0,smooth,random,2,5
0,2,22,47.390428036316756,0,smooth,random,2,5
0,3,9,92.24195494889865,0,smooth,random,2,5
0,4,22,47.390428036316756,0,smooth,random,2,5
0,5,9,92.24195494889865,0,smooth,random,2,5
0,1,20,10.078672838569698,0,smooth,random,3,5
0,2,10,100.0,0,smooth,random,3,5
0,3,23,63.37679668456351,0,smooth,random,3,5
0,4,9,92.24195494889865,0,smooth,random,3,5
0,5,4,29.088118294566513,0,smooth,random,3,5
0,1,11,91.81612413089759,0,smooth,random,4,5
0,2,17,41.997934970512354,0,smooth,random,4,5
0,3,17,41.997934970512354,0,smooth,random,4,5
0,4,11,91.81612413089759,0,smooth,random,4,5
0,5,15,62.00652170459323,0,smooth,random,4,5
0,1,17,41.997934970512354,0,smooth,random,5,5
0,2,17,41.997934970512354,0,smooth,random,5,5
0,3,0,62.228202058617676,0,smooth,random,5,5
0,4,4,29.088118294566513,0,smooth,random,5,5
0,5,26,51.30896635333806,0,smooth,random,5,5
0,1,21,25.72986281251589,0,smooth,random,6,5
0,2,14,56.436793175687185,0,smooth,random,6,5
0,3,27,58.075347313017076,0,smooth,random,6,5
0,4,8,62.7919182869412,0,smooth,random,6,5
0,5,24,61.95673901029147,0,smooth,random,6,5
0,1,24,61.95673901029147,0,smooth,random,7,5
0,2,8,62.7919182869412,0,smooth,random,7,5
0,3,7,24.047814360533465,0,smooth,random,7,5
0,4,15,62.00652170459323,0,smooth,random,7,5
