,agent,id,environment,t,horizons,z
0,gpt,0,smooth,1.0,5,34.29903172457488
1,gpt,1,rough,0.6,5,46.110930272495914
2,gpt,2,rough,0.8,5,46.795669133582656
3,gpt,3,rough,0.0,5,63.76762128428701
4,gpt,4,rough,0.2,5,66.93808550268803
5,gpt,5,rough,0.4,5,62.38120585770478
6,gpt,6,rough,0.6,5,61.55535402140338
7,gpt,7,rough,0.8,5,66.99771930582058
8,gpt,8,rough,0.0,5,79.67592200872053
9,gpt,9,rough,0.2,5,37.88122075981148
10,gpt,10,rough,0.4,5,60.39510842121198
11,gpt,11,rough,0.2,10,51.421999277375896
12,gpt,12,rough,0.6,5,57.969166530238034
13,gpt,13,rough,0.8,5,69.55502073840412
14,gpt,14,rough,0.0,5,53.014766132328866
15,gpt,15,rough,0.2,5,56.04715763570308
16,gpt,16,rough,0.4,5,47.26420613843083
17,gpt,17,rough,0.6,5,72.27841565850078
18,gpt,18,rough,0.8,5,63.80404855757721
19,gpt,19,rough,0.0,5,27.110907671373308
20,gpt,20,rough,0.2,5,70.7322994979208
21,gpt,21,rough,0.4,5,52.35267260940581
22,gpt,22,rough,0.4,10,76.05570163266324
23,gpt,23,rough,0.6,5,80.38039965429533
24,gpt,24,rough,0.8,5,53.43467879543932
25,gpt,25,rough,0.0,5,37.20640459959202
26,gpt,26,rough,0.2,5,47.4316539691757
27,gpt,27,rough,0.4,5,30.60153413795942
28,gpt,28,rough,0.6,5,61.02896185659131
29,gpt,29,rough,0.8,5,34.17469664660529
30,gpt,30,rough,0.0,5,86.15962853911348
31,gpt,31,smooth,1.0,10,91.25106190958144
32,gpt,32,rough,0.2,5,44.268405426683096
33,gpt,33,rough,0.0,10,75.3510097768504
34,gpt,34,rough,0.4,5,77.65343470097302
35,gpt,35,rough,0.6,5,46.22273877182027
36,gpt,36,rough,0.8,5,45.0838531256151
37,gpt,37,rough,0.0,5,32.91602152493741
38,gpt,38,rough,0.2,5,47.877461735757244
39,gpt,39,rough,0.4,5,45.918442528003226
40,gpt,40,rough,0.6,5,64.97865369385345
41,gpt,41,rough,0.8,5,71.83601417245129
42,gpt,42,rough,0.0,5,53.170755342961115
43,gpt,43,rough,0.2,5,37.1187239411873
44,gpt,44,rough,0.2,10,31.48937541588467
45,gpt,45,rough,0.4,5,63.25041468320837
46,gpt,46,rough,0.6,5,79.77728832373079
47,gpt,47,rough,0.8,5,52.41127959790894
48,gpt,48,rough,0.0,5,71.19574054311074
49,gpt,49,rough,0.2,5,72.17542374181652
50,gpt,50,rough,0.4,5,52.66094869674589
51,gpt,51,rough,0.6,5,82.9244690580956
52,gpt,52,rough,0.8,5,46.23667484682377
53,gpt,53,rough,0.0,5,76.98601549075549
54,gpt,54,rough,0.2,5,46.83169023596792
55,gpt,55,rough,0.4,10,66.42008365079582
56,gpt,56,rough,0.4,5,41.79130435616964
57,gpt,57,rough,0.6,5,42.4261886777808
58,gpt,58,rough,0.8,5,55.69485424086671
59,gpt,59,rough,0.0,5,56.094740096374665
60,gpt,60,rough,0.2,5,46.110930272495914
61,gpt,61,rough,0.4,5,33.3207240293267
62,gpt,62,rough,0.6,5,47.92835373842982
63,gpt,63,rough,0.8,5,38.824762069257964
64,gpt,64,rough,0.0,5,71.96795728361822
65,gpt,65,rough,0.2,5,72.70312407713753
66,gpt,66,rough,0.0,10,54.94076943244479
67,gpt,67,rough,0.4,5,58.303485255910005
68,gpt,68,rough,0.6,5,74.65882393199168
69,gpt,69,rough,0.8,5,65.19130115005935
70,gpt,70,rough,0.0,5,74.44279696451613
71,gpt,71,rough,0.2,5,79.97700328180905
72,gpt,72,rough,0.4,5,60.87447916837497
73,gpt,73,rough,0.6,5,20.951236052413332
74,gpt,74,rough,0.8,5,55.171107883671255
75,gpt,75,rough,0.0,5,86.2481284845541
76,gpt,76,rough,0.2,5,56.04715763570308
77,gpt,77,rough,0.2,10,68.73764689017712
78,gpt,78,rough,0.4,5,28.904197461469654
79,gpt,79,rough,0.6,5,48.310790862753
80,gpt,80,rough,0.8,5,74.19904713333456
81,gpt,81,rough,0.0,5,63.98778430548138
82,gpt,82,rough,0.2,5,49.037539416130876
83,gpt,83,rough,0.4,5,66.68510792034964
84,gpt,84,rough,0.6,5,26.338648604218992
85,gpt,85,rough,0.8,5,76.21046154270445
86,gpt,86,rough,0.0,5,54.21161448672158
87,gpt,87,smooth,1.0,5,72.5270560508701
88,gpt,88,rough,0.4,10,48.85664595994771
89,gpt,89,rough,1.0,5,44.79237471894667
90,gpt,90,smooth,1.0,5,86.3712752784827
91,gpt,91,smooth,1.0,5,42.982888054011596
92,gpt,92,smooth,1.0,5,75.23723281526831
93,gpt,93,rough,1.0,5,86.15962853911348
94,gpt,94,smooth,1.0,10,42.64261576765198
95,gpt,95,smooth,1.0,5,39.49731168069163
96,gpt,96,rough,1.0,5,55.822292421230365
97,gpt,97,rough,1.0,10,53.06952686778964
98,gpt,98,smooth,1.0,5,61.63033472535695
99,gpt,99,rough,0.0,10,47.939008432822604
100,gpt,100,rough,1.0,5,33.4773436168435
101,gpt,101,rough,1.0,10,52.58167739871963
102,gpt,102,smooth,1.0,10,50.95610556369413
103,gpt,103,rough,1.0,5,57.99246675074189
104,gpt,104,smooth,1.0,10,79.09500018689666
105,gpt,105,rough,1.0,10,59.45254026567511
106,gpt,106,smooth,1.0,10,22.34651257201024
107,gpt,107,rough,1.0,10,90.00142972737675
108,gpt,108,smooth,1.0,10,90.57475937824314
109,gpt,109,smooth,1.0,10,66.42301881488282
110,gpt,110,rough,0.2,10,54.53656967820627
111,gpt,111,rough,0.2,10,64.47303544280713
112,gpt,112,rough,0.6,10,71.73998572982981
113,gpt,113,rough,0.6,10,57.188044135040315
114,gpt,114,rough,0.6,10,80.8370013721991
115,gpt,115,rough,0.6,10,56.01083060486271
