,trials,x,zs,z_scaled,kernel,globalmax,t,environment
0,1,22,0.3464588882191701,25,32,69,1,rough
1,2,21,0.030436911009932333,1,32,69,1,rough
2,3,23,0.7603459913366555,53,32,69,1,rough
3,4,24,1.0,70,32,69,1,rough
4,5,25,0.7853099966595303,55,32,69,1,rough
5,1,9,0.8049062166121729,53,32,68,1,rough
6,2,8,0.8112858687422094,54,32,68,1,rough
7,3,10,0.7470914133301335,50,32,68,1,rough
8,4,7,0.606437546891454,41,32,68,1,rough
9,5,11,1.0,67,32,68,1,rough
10,6,12,0.5737797402370305,39,32,68,1,rough
11,7,13,0.24235885663797618,16,32,68,1,rough
12,8,6,0.6133451376143363,41,32,68,1,rough
13,9,14,0.4987411228335837,32,32,68,1,rough
14,10,5,0.7182280016954184,49,32,68,1,rough
15,1,18,0.4523250166391161,32,32,72,1,rough
16,2,17,0.2889993800989493,21,32,72,1,rough
17,3,19,0.3583899748066923,27,32,72,1,rough
18,4,20,0.14581749675322694,11,32,72,1,rough
19,5,16,0.34465956665166964,25,32,72,1,rough
20,1,24,1.0,69,32,69,1,rough
21,2,23,0.9412018846526767,65,32,69,1,rough
22,3,25,0.758071940954461,53,32,69,1,rough
23,4,22,0.9696616606726823,67,32,69,1,rough
24,5,21,0.7290238090100134,50,32,69,1,rough
25,6,26,0.5391296525601827,38,32,69,1,rough
26,7,20,0.4932949311874184,35,32,69,1,rough
27,8,19,0.45377763829008994,30,32,69,1,rough
28,9,27,0.36059844904549254,25,32,69,1,rough
29,10,28,0.29499234619536197,19,32,69,1,rough
30,1,16,0.7477967242253537,45,32,61,1,rough
31,2,17,0.49885633567179477,31,32,61,1,rough
32,3,15,0.8625001666786719,52,32,61,1,rough
33,4,14,0.9547061723998915,59,32,61,1,rough
34,5,13,0.8289782566789632,53,32,61,1,rough
35,1,2,0.19847376859395843,16,32,77,1,rough
36,2,1,0.23242275323968278,17,32,77,1,rough
37,3,3,0.3507404596018232,28,32,77,1,rough
38,4,4,0.5292811322108019,43,32,77,1,rough
39,5,5,0.6989511580656346,53,32,77,1,rough
40,6,6,0.7567865446378538,58,32,77,1,rough
41,7,7,0.5226275538608246,39,32,77,1,rough
42,8,8,0.6140045255617953,47,32,77,1,rough
43,9,9,0.6438348745558343,50,32,77,1,rough
44,10,10,0.632929062630902,48,32,77,1,rough
45,1,3,0.5142840903330683,33,32,64,1,rough
46,2,4,0.21711634521160839,16,32,64,1,rough
47,3,5,0.3324397984847563,23,32,64,1,rough
48,4,2,1.0,64,32,64,1,rough
49,5,6,0.1933710075597662,13,32,64,1,rough
50,1,10,0.5607382492820501,34,32,63,1,rough
51,2,11,0.8921054362455296,57,32,63,1,rough
52,3,12,0.7164094353001287,44,32,63,1,rough
53,4,13,0.8891694618929019,55,32,63,1,rough
54,5,9,0.4839501523011206,29,32,63,1,rough
55,6,14,0.8942871553377938,56,32,63,1,rough
56,7,15,0.5050576892924725,32,32,63,1,rough
57,8,8,0.525658253095662,34,32,63,1,rough
58,9,16,0.0,0,32,63,1,rough
59,10,17,0.4797889584250759,32,32,63,1,rough
