,trials,x,zs,z_scaled,kernel,globalmax,t,id,environment
0,0,20,0.8214056243670559,62,37,77,0,0,smooth
1,1,19,0.880232792052808,71,37,77,0,0,smooth
2,2,21,0.7774497650253868,59,37,77,0,0,smooth
3,3,18,0.8498080023590387,67,37,77,0,0,smooth
4,4,17,0.7507924219434277,58,37,77,0,0,smooth
5,5,22,0.7620596281381998,59,37,77,0,0,smooth
6,6,23,0.7083698702984204,55,37,77,0,0,smooth
7,7,24,0.6505292224838615,50,37,77,0,0,smooth
8,8,25,0.6814349059178852,53,37,77,0,0,smooth
9,9,26,0.7300995070794045,57,37,77,0,0,smooth
10,10,27,0.6108862748036404,47,37,77,0,0,smooth
