,Unnamed: 0,trials,x,zs,z_scaled,kernel,globalmax,t,id,environment,horizons
0,0,0,23,0.4137768603504695,30,22,75,0,18,rough,10
1,1,1,22,0.7688118669245889,59,22,75,0,18,rough,10
2,2,2,21,0.8343249292753155,63,22,75,0,18,rough,10
3,3,3,24,0.0,3,22,75,0,18,rough,10
4,4,4,25,0.1728062576320999,13,22,75,0,18,rough,10
5,5,5,20,0.2641781492757081,19,22,75,0,18,rough,10
6,6,6,19,0.325165264267712,23,22,75,0,18,rough,10
7,7,7,18,0.6815934905088304,52,22,75,0,18,rough,10
8,8,8,17,0.8940419898399635,68,22,75,0,18,rough,10
9,9,9,16,0.5965813133398254,44,22,75,0,18,rough,10
10,10,10,15,0.3220108061959721,24,22,75,0,18,rough,10
