,Unnamed: 0,trials,x,zs,z_scaled,kernel,globalmax,t,id,environment,horizons
0,0,0,29,0.1042331415032915,6,21,61,0.6,206,rough,10
1,1,1,28,0.5502873747193335,32,21,61,0.6,206,rough,10
2,2,2,27,0.6856716851248803,42,21,61,0.6,206,rough,10
3,3,3,26,0.3390786089482476,22,21,61,0.6,206,rough,10
4,4,4,28,0.5502873747193335,32,21,61,0.6,206,rough,10
5,5,5,27,0.6856716851248803,43,21,61,0.6,206,rough,10
6,6,6,25,0.3106233806153202,21,21,61,0.6,206,rough,10
7,7,7,28,0.5502873747193335,35,21,61,0.6,206,rough,10
8,8,8,27,0.6856716851248803,43,21,61,0.6,206,rough,10
9,9,9,28,0.5502873747193335,33,21,61,0.6,206,rough,10
10,10,10,27,0.6856716851248803,44,21,61,0.6,206,rough,10
