,trials,x,zs,z_scaled,kernel,globalmax,t,id,environment
0,0,14,0.0,1,20,77,0,71,rough
1,1,15,0.28932610127980823,21,20,77,0,71,rough
2,2,16,0.4729404948031451,36,20,77,0,71,rough
3,3,17,0.3311263310673438,26,20,77,0,71,rough
4,4,18,0.5945009541695622,46,20,77,0,71,rough
5,5,19,0.544490394655662,41,20,77,0,71,rough
6,6,20,0.08494883510488965,7,20,77,0,71,rough
7,7,19,0.544490394655662,41,20,77,0,71,rough
8,8,18,0.5945009541695622,46,20,77,0,71,rough
9,9,17,0.3311263310673438,25,20,77,0,71,rough
10,10,16,0.4729404948031451,35,20,77,0,71,rough
