,trials,x,zs,z_scaled,kernel,globalmax,t,id,environment
0,0,20,0.2674867256128164,21,17,76,0.2,3,rough
1,1,19,0.5957131671031876,45,17,76,0.2,3,rough
2,2,18,0.7226091630829404,55,17,76,0.2,3,rough
3,3,17,0.9041910213463321,70,17,76,0.2,3,rough
4,4,16,0.7457633852229868,55,17,76,0.2,3,rough
5,5,15,0.45755777891593963,35,17,76,0.2,3,rough
6,6,19,0.5957131671031876,45,17,76,0.2,3,rough
7,7,18,0.7226091630829404,57,17,76,0.2,3,rough
8,8,17,0.9041910213463321,70,17,76,0.2,3,rough
9,9,19,0.5957131671031876,45,17,76,0.2,3,rough
10,10,18,0.7226091630829404,52,17,76,0.2,3,rough
