Unnamed: 0,trials,x,z,horizons,environment,id
0,0,24,0.7147058979849364,5,smooth,0
1,1,28,0.7890135572604741,5,smooth,0
2,2,5,0.5586969535240989,5,smooth,0
3,3,10,0.0073250444904035,5,smooth,0
4,4,12,0.0432249201316434,5,smooth,0
5,5,11,0.0,5,smooth,0
0,0,24,0.3015625382890858,5,rough,100
1,1,28,0.408970258680955,5,rough,100
2,2,18,0.4493254030650834,5,rough,100
3,3,2,0.1042706650637551,5,rough,100
4,4,16,0.5691311997426599,5,rough,100
5,5,10,0.2801618362029448,5,rough,100
0,0,6,0.4948911413878768,10,rough,101
1,1,9,0.5763507782861178,10,rough,101
2,2,2,0.5970338241683012,10,rough,101
3,3,6,0.4948911413878768,10,rough,101
4,4,20,1.0,10,rough,101
5,5,0,0.2992368597196648,10,rough,101
6,6,29,0.9644606377346931,10,rough,101
7,7,12,0.0,10,rough,101
8,8,16,0.4037794353405534,10,rough,101
9,9,13,0.4534448810514604,10,rough,101
10,10,11,0.2271556697835234,10,rough,101
0,0,1,0.5786165730646398,10,smooth,102
1,1,5,0.241134585052703,10,smooth,102
2,2,28,0.1393993941799556,10,smooth,102
3,3,6,0.1312012246833539,10,smooth,102
4,4,15,0.4322232779996376,10,smooth,102
5,5,24,0.0566191767865794,10,smooth,102
6,6,2,0.4711801110670606,10,smooth,102
7,7,5,0.241134585052703,10,smooth,102
8,8,10,0.2911993687447766,10,smooth,102
9,9,24,0.0566191767865794,10,smooth,102
10,10,1,0.5786165730646398,10,smooth,102
0,0,10,0.4575123080614167,5,rough,103
1,1,28,0.5536537715252365,5,rough,103
2,2,25,0.9479635990072997,5,rough,103
3,3,5,0.2929596881295136,5,rough,103
4,4,14,0.389657025584171,5,rough,103
5,5,12,0.5859879606322622,5,rough,103
0,0,2,0.7768153252392527,10,smooth,104
1,1,8,0.8098553588281314,10,smooth,104
2,2,19,0.0471616055887633,10,smooth,104
3,3,14,1.0,10,smooth,104
4,4,21,0.2705167737284299,10,smooth,104
5,5,13,0.9323734493858716,10,smooth,104
6,6,19,0.0471616055887633,10,smooth,104
7,7,23,0.965808389255045,10,smooth,104
8,8,22,0.7486713131577437,10,smooth,104
9,9,15,0.8213307932327865,10,smooth,104
10,10,24,0.7349329286411572,10,smooth,104
0,0,20,0.2875523101167083,10,rough,105
1,1,19,0.2674867256128164,10,rough,105
2,2,7,0.0745236682369838,10,rough,105
3,3,24,0.4957695194975224,10,rough,105
4,4,13,0.5796455614624194,10,rough,105
5,5,7,0.0745236682369838,10,rough,105
6,6,8,0.5888140616193095,10,rough,105
7,7,27,0.6427444382856763,10,rough,105
8,8,18,0.5957131671031876,10,rough,105
9,9,15,0.7457633852229868,10,rough,105
10,10,26,0.5490802756920385,10,rough,105
0,0,4,0.1819915923625533,10,smooth,106
1,1,12,0.9919972861188784,10,smooth,106
2,2,4,0.1819915923625533,10,smooth,106
3,3,17,0.0360493064443643,10,smooth,106
4,4,0,0.0219143199278831,10,smooth,106
5,5,19,0.5488710695342938,10,smooth,106
6,6,20,0.4300722619829549,10,smooth,106
7,7,7,0.5410218126304285,10,smooth,106
8,8,1,0.0935804739928921,10,smooth,106
9,9,25,0.2488926002354922,10,smooth,106
10,10,18,0.346309168484694,10,smooth,106
0,0,1,0.540702899966243,10,rough,107
1,1,22,0.7316097803430913,10,rough,107
2,2,21,0.6800673339791677,10,rough,107
3,3,5,0.8493515574492688,10,rough,107
4,4,16,0.7417863615468759,10,rough,107
5,5,13,0.3003144571716234,10,rough,107
6,6,19,0.0,10,rough,107
7,7,13,0.3003144571716234,10,rough,107
8,8,26,1.0,10,rough,107
9,9,21,0.6800673339791677,10,rough,107
10,10,15,0.7508467348717629,10,rough,107
0,0,15,0.2619200258976596,10,smooth,108
1,1,15,0.2619200258976596,10,smooth,108
2,2,23,0.6138283306580333,10,smooth,108
3,3,19,0.732621574324465,10,smooth,108
4,4,21,0.7325139222842392,10,smooth,108
5,5,4,0.0900511428724781,10,smooth,108
6,6,21,0.7325139222842392,10,smooth,108
7,7,16,0.4031391745712578,10,smooth,108
8,8,5,0.3467159446077598,10,smooth,108
9,9,19,0.732621574324465,10,smooth,108
10,10,17,0.5463270812380823,10,smooth,108
0,0,29,0.0,10,smooth,109
1,1,15,0.7001322132217902,10,smooth,109
2,2,24,0.6814349059178852,10,smooth,109
3,3,19,0.8214056243670559,10,smooth,109
4,4,25,0.7300995070794045,10,smooth,109
5,5,25,0.7300995070794045,10,smooth,109
6,6,3,0.7583685997145962,10,smooth,109
7,7,2,0.7489405210428423,10,smooth,109
8,8,29,0.0,10,smooth,109
9,9,0,0.3905790489726215,10,smooth,109
10,10,15,0.7001322132217902,10,smooth,109
0,0,23,0.8578289439670664,5,rough,10
1,1,8,0.7963056068977591,5,rough,10
2,2,20,0.2327137117284284,5,rough,10
3,3,11,0.5487384604683339,5,rough,10
4,4,5,0.0,5,rough,10
5,5,26,0.6047962679518347,5,rough,10
0,0,17,0.3468972373153345,10,rough,110
1,1,5,0.3926874657528152,10,rough,110
2,2,16,0.493025203363188,10,rough,110
3,3,21,0.2433927873927081,10,rough,110
4,4,6,0.2722430179886226,10,rough,110
5,5,1,0.5009654135671209,10,rough,110
6,6,26,0.5159010349805373,10,rough,110
7,7,22,0.0259105869002827,10,rough,110
8,8,28,0.5335744642555847,10,rough,110
9,9,3,0.3803759917727276,10,rough,110
10,10,4,0.4883116475922681,10,rough,110
0,0,24,0.3236147808661719,10,rough,111
1,1,9,0.632929062630902,10,rough,111
2,2,24,0.3236147808661719,10,rough,111
3,3,20,0.0243508859270631,10,rough,111
4,4,1,0.1984737685939584,10,rough,111
5,5,0,0.2324227532396827,10,rough,111
6,6,19,0.0,10,rough,111
7,7,25,0.6440316899953508,10,rough,111
8,8,7,0.6140045255617953,10,rough,111
9,9,17,0.6509898737549125,10,rough,111
10,10,6,0.5226275538608246,10,rough,111
0,0,1,0.7557651639957668,10,rough,112
1,1,13,0.4835283363563987,10,rough,112
2,2,11,0.0,10,rough,112
3,3,11,0.0,10,rough,112
4,4,22,0.5730206631586978,10,rough,112
5,5,8,0.9198959465213588,10,rough,112
6,6,11,0.0,10,rough,112
7,7,17,0.3999882993131025,10,rough,112
8,8,16,0.6785432713507503,10,rough,112
9,9,8,0.9198959465213588,10,rough,112
10,10,27,0.5510382329732314,10,rough,112
0,0,10,0.7505541501198791,10,rough,113
1,1,13,0.394429334037108,10,rough,113
2,2,0,0.7163568605311451,10,rough,113
3,3,0,0.7163568605311451,10,rough,113
4,4,3,0.3686009483489339,10,rough,113
5,5,1,0.7859308666434733,10,rough,113
6,6,20,0.5769969872497501,10,rough,113
7,7,14,0.0,10,rough,113
8,8,5,0.5351885397760904,10,rough,113
9,9,15,0.0733150834481632,10,rough,113
10,10,22,0.1261732068113072,10,rough,113
0,0,14,0.6098707450014589,10,rough,114
1,1,15,0.5113021142354829,10,rough,114
2,2,25,0.5981090253993594,10,rough,114
3,3,24,0.835059450382272,10,rough,114
4,4,11,0.5487384604683339,10,rough,114
5,5,26,0.6047962679518347,10,rough,114
6,6,1,0.7515699896880876,10,rough,114
7,7,15,0.5113021142354829,10,rough,114
8,8,21,0.2799582115794313,10,rough,114
9,9,26,0.6047962679518347,10,rough,114
10,10,11,0.5487384604683339,10,rough,114
0,0,16,0.5187488927640268,10,rough,115
1,1,14,0.6215778629619544,10,rough,115
2,2,26,0.2305512044995887,10,rough,115
3,3,14,0.6215778629619544,10,rough,115
4,4,27,0.5494743037533734,10,rough,115
5,5,1,0.1015405057581725,10,rough,115
6,6,17,0.1493996640954031,10,rough,115
7,7,10,0.9944976369171052,10,rough,115
8,8,26,0.2305512044995887,10,rough,115
9,9,0,0.3755014855563438,10,rough,115
10,10,17,0.1493996640954031,10,rough,115
0,0,22,0.5203961562592467,10,rough,116
1,1,10,0.9952541178795606,10,rough,116
2,2,13,0.783394480752409,10,rough,116
3,3,4,0.3734525299238103,10,rough,116
4,4,26,0.3497707564649559,10,rough,116
5,5,5,0.2197532723804139,10,rough,116
6,6,4,0.3734525299238103,10,rough,116
7,7,3,0.4215831457575141,10,rough,116
8,8,5,0.2197532723804139,10,rough,116
9,9,18,0.223965118669288,10,rough,116
10,10,17,0.3769557993226995,10,rough,116
0,0,19,0.829469592728304,10,rough,117
1,1,0,0.1288077168428515,10,rough,117
2,2,11,0.6747111689714541,10,rough,117
3,3,24,0.9787523687817326,10,rough,117
4,4,4,0.5340721961438706,10,rough,117
5,5,13,0.456664753828438,10,rough,117
6,6,1,0.7943865271211237,10,rough,117
7,7,7,0.576927176584285,10,rough,117
8,8,2,0.9715097066051628,10,rough,117
9,9,10,0.6459187672257226,10,rough,117
10,10,3,0.8604519538022272,10,rough,117
0,0,13,0.6510829912939476,10,rough,118
1,1,11,0.4073829907556924,10,rough,118
2,2,17,0.6883985028448881,10,rough,118
3,3,29,0.3160131356517615,10,rough,118
4,4,22,0.0,10,rough,118
5,5,26,0.6856716851248803,10,rough,118
6,6,17,0.6883985028448881,10,rough,118
7,7,25,0.3390786089482476,10,rough,118
8,8,2,0.3438974812750773,10,rough,118
9,9,9,0.5683602999938835,10,rough,118
10,10,19,0.2914324057188202,10,rough,118
0,0,0,0.5641186718101985,10,rough,119
1,1,18,0.3781944858611388,10,rough,119
2,2,2,0.3005065203258638,10,rough,119
3,3,20,0.4631139748397245,10,rough,119
4,4,15,0.7577169769618892,10,rough,119
5,5,9,0.24398761648124,10,rough,119
6,6,9,0.24398761648124,10,rough,119
7,7,9,0.24398761648124,10,rough,119
8,8,29,0.3632565978712885,10,rough,119
9,9,4,0.1072976744169103,10,rough,119
10,10,21,0.698234010499189,10,rough,119
0,0,26,0.56315676766431,10,rough,11
1,1,10,0.2122411795977835,10,rough,11
2,2,25,0.5948990474360132,10,rough,11
3,3,26,0.56315676766431,10,rough,11
4,4,8,0.9198959465213588,10,rough,11
5,5,18,0.3408896701244219,10,rough,11
6,6,2,0.8228070802749509,10,rough,11
7,7,27,0.5510382329732314,10,rough,11
8,8,5,0.288937149348907,10,rough,11
9,9,19,0.2517163658181758,10,rough,11
10,10,29,1.0,10,rough,11
0,0,10,0.3868276297861786,10,rough,120
1,1,27,0.5502873747193335,10,rough,120
2,2,9,0.5683602999938835,10,rough,120
3,3,24,0.3106233806153202,10,rough,120
4,4,12,0.4389251374159741,10,rough,120
5,5,24,0.3106233806153202,10,rough,120
6,6,0,0.8257495482506483,10,rough,120
7,7,19,0.2914324057188202,10,rough,120
8,8,15,0.5601893450807077,10,rough,120
9,9,12,0.4389251374159741,10,rough,120
10,10,29,0.3160131356517615,10,rough,120
0,0,21,0.2758164230360342,10,rough,121
1,1,17,0.6328705197705875,10,rough,121
2,2,24,0.5731028356294354,10,rough,121
3,3,22,0.2893857090460414,10,rough,121
4,4,15,0.2491166039444849,10,rough,121
5,5,23,0.5768066711540059,10,rough,121
6,6,3,0.4897322865532834,10,rough,121
7,7,22,0.2893857090460414,10,rough,121
8,8,17,0.6328705197705875,10,rough,121
9,9,12,0.8049388273416341,10,rough,121
10,10,4,1.0,10,rough,121
0,0,12,0.4679262364569895,10,rough,122
1,1,27,0.323172435897576,10,rough,122
2,2,8,0.6924734701156648,10,rough,122
3,3,9,0.9138153375049988,10,rough,122
4,4,3,0.4323015520189186,10,rough,122
5,5,0,0.4261539131191849,10,rough,122
6,6,29,0.0,10,rough,122
7,7,19,0.7382086968348924,10,rough,122
8,8,3,0.4323015520189186,10,rough,122
9,9,23,0.2563634570668338,10,rough,122
10,10,20,0.4954097958895342,10,rough,122
0,0,7,0.0809117159078142,10,rough,123
1,1,12,0.7655780093565977,10,rough,123
2,2,22,0.2323678397811582,10,rough,123
3,3,0,0.0,10,rough,123
4,4,23,0.6590812806609082,10,rough,123
5,5,24,1.0,10,rough,123
6,6,27,0.293347055914774,10,rough,123
7,7,7,0.0809117159078142,10,rough,123
8,8,1,0.1910771969892208,10,rough,123
9,9,2,0.7125645622989514,10,rough,123
10,10,28,0.3831773531102703,10,rough,123
0,0,23,0.5786383378249931,10,rough,124
1,1,16,0.382187717618609,10,rough,124
2,2,13,0.394429334037108,10,rough,124
3,3,6,0.4032828840409942,10,rough,124
4,4,28,0.3256174956609675,10,rough,124
5,5,7,0.1607840037449257,10,rough,124
6,6,24,1.0,10,rough,124
7,7,5,0.5351885397760904,10,rough,124
8,8,2,0.6346208356019586,10,rough,124
9,9,12,0.7987810078357164,10,rough,124
10,10,6,0.4032828840409942,10,rough,124
0,0,3,0.4736593550193061,10,rough,125
1,1,24,0.835059450382272,10,rough,125
2,2,29,0.2933554838757926,10,rough,125
