,AIC,BIC,Learning,Sampling,id,horizons,environment
0,12.73459165997295,11.562905397275248,GP,UCB,0,5,smooth
1,58.49763810201572,59.40539338099786,GP,UCB,10,10,rough
2,28.582841129234826,27.411154866537125,GP,UCB,11,5,smooth
3,58.0170825619792,58.92483784096134,GP,UCB,13,10,smooth
4,78.93092193727708,79.83867721625921,GP,UCB,14,10,smooth
5,56.780973988881975,57.68872926786411,GP,UCB,15,10,rough
6,37.29682908719355,36.12514282449585,GP,UCB,16,5,rough
7,37.26239215025212,36.09070588755442,GP,UCB,17,5,smooth
8,21.926840333110693,20.755154070412992,GP,UCB,19,5,rough
9,69.95984969195004,70.86760497093218,GP,UCB,1,10,rough
10,41.94195174991264,42.84970702889478,GP,UCB,20,10,smooth
11,34.511780846314366,33.34009458361667,GP,UCB,21,5,smooth
12,49.24096737042287,50.14872264940501,GP,UCB,24,10,smooth
13,27.11419520788452,25.942508945186823,GP,UCB,25,5,smooth
14,36.85033740654259,35.678651143844895,GP,UCB,27,5,smooth
15,38.23059940052624,39.138354679508375,GP,UCB,28,10,smooth
16,21.533293291272308,20.36160702857461,GP,UCB,29,5,smooth
17,59.79030461838189,60.698059897364026,GP,UCB,2,10,smooth
18,67.37783481105166,68.28559009003379,GP,UCB,30,10,smooth
19,39.95585624143689,38.78416997873919,GP,UCB,31,5,smooth
20,27.58286855627829,26.411182293580588,GP,UCB,32,5,rough
21,12.73459165997295,11.562905397275248,GP,UCB,33,5,smooth
22,12.802394763323989,11.630708500626287,GP,UCB,34,5,smooth
23,31.859995982699367,30.68830972000167,GP,UCB,35,5,smooth
24,35.52987347852276,34.35818721582506,GP,UCB,36,5,rough
25,69.8343095598928,70.74206483887494,GP,UCB,37,10,smooth
26,25.78992599918026,24.618239736482558,GP,UCB,38,5,smooth
27,19.615498205052134,18.443811942354436,GP,UCB,39,5,rough
28,76.43087640816739,77.33863168714953,GP,UCB,3,10,rough
29,37.094687353720325,35.92300109102263,GP,UCB,40,5,smooth
30,34.76651250665156,33.59482624395386,GP,UCB,41,5,rough
31,51.03748257305894,51.945237852041075,GP,UCB,42,10,rough
32,72.3754176754395,73.28317295442163,GP,UCB,43,10,smooth
33,12.73459165997295,11.562905397275248,GP,UCB,44,5,rough
34,50.494130962087844,51.40188624106998,GP,UCB,45,10,smooth
35,60.617047901610334,61.52480318059247,GP,UCB,46,10,rough
36,69.83430955993703,70.74206483891916,GP,UCB,47,10,smooth
37,58.960882841416776,59.86863812039891,GP,UCB,48,10,rough
38,50.71779400925105,51.62554928823319,GP,UCB,49,10,smooth
39,67.0541175612094,67.96187284019153,GP,UCB,4,10,smooth
40,70.97392529302566,71.8816805720078,GP,UCB,50,10,rough
