,trials,x,z,z_scaled,kernel,globalmax,t,id,environment,Unnamed: 0.1,horizons,agent,Edistance
0,0,28,24.990618621027412,18,28,68,0.0,0,smooth,,,per_gpt,-1
1,1,27,35.14874419339173,25,28,68,0.0,0,smooth,,,per_gpt,1
2,2,29,28.23654000245709,18,28,68,0.0,0,smooth,,,per_gpt,2
3,3,26,52.33937054204656,36,28,68,0.0,0,smooth,,,per_gpt,3
4,4,25,72.1946768236787,49,28,68,0.0,0,smooth,,,per_gpt,1
5,5,24,90.36083065565748,61,28,68,0.0,0,smooth,,,per_gpt,1
6,6,23,99.69847850826676,67,28,68,0.0,0,smooth,,,per_gpt,1
7,7,22,96.97514918359244,66,28,68,0.0,0,smooth,,,per_gpt,1
8,8,21,87.52457579839692,60,28,68,0.0,0,smooth,,,per_gpt,1
9,9,20,77.51903894645767,51,28,68,0.0,0,smooth,,,per_gpt,1
10,10,19,71.17726773538587,48,28,68,0.0,0,smooth,,,per_gpt,1
11,0,15,23.62844068458762,16,21,70,1.0,0,smooth,0.0,5.0,per_gpt,4
12,1,14,13.34342224938988,9,21,70,1.0,0,smooth,1.0,5.0,per_gpt,1
13,2,16,26.871526817621028,19,21,70,1.0,0,smooth,2.0,5.0,per_gpt,2
14,3,17,27.5684853197727,18,21,70,1.0,0,smooth,3.0,5.0,per_gpt,1
15,4,18,41.93650508709031,31,21,70,1.0,0,smooth,4.0,5.0,per_gpt,1
16,5,19,72.44581018898775,50,21,70,1.0,0,smooth,5.0,5.0,per_gpt,1
17,0,1,23.24227532396827,19,39,73,0.6,100,rough,0.0,5.0,per_gpt,-1
18,1,2,19.84737685939584,14,39,73,0.6,100,rough,1.0,5.0,per_gpt,1
19,2,3,35.07404596018232,27,39,73,0.6,100,rough,2.0,5.0,per_gpt,1
20,3,4,52.92811322108019,35,39,73,0.6,100,rough,3.0,5.0,per_gpt,1
21,4,5,69.89511580656345,50,39,73,0.6,100,rough,4.0,5.0,per_gpt,1
22,5,6,75.67865446378538,54,39,73,0.6,100,rough,5.0,5.0,per_gpt,1
23,0,20,14.581749675322689,9,7,65,0.8,101,rough,0.0,5.0,per_gpt,-1
24,1,19,35.838997480669235,23,7,65,0.8,101,rough,1.0,5.0,per_gpt,1
25,2,18,45.23250166391161,29,7,65,0.8,101,rough,2.0,5.0,per_gpt,1
26,3,17,28.89993800989493,18,7,65,0.8,101,rough,3.0,5.0,per_gpt,1
27,4,21,56.220827971697474,35,7,65,0.8,101,rough,4.0,5.0,per_gpt,4
28,5,22,100.0,66,7,65,0.8,101,rough,5.0,5.0,per_gpt,1
29,0,20,43.32266864186181,27,13,62,0.0,102,rough,0.0,5.0,per_gpt,-1
30,1,19,58.51194569000771,37,13,62,0.0,102,rough,1.0,5.0,per_gpt,1
31,2,21,23.27137117284284,15,13,62,0.0,102,rough,2.0,5.0,per_gpt,2
32,3,19,58.51194569000771,36,13,62,0.0,102,rough,3.0,5.0,per_gpt,2
33,4,18,98.98779651100203,63,13,62,0.0,102,rough,4.0,5.0,per_gpt,1
34,5,17,100.0,61,13,62,0.0,102,rough,5.0,5.0,per_gpt,1
35,0,10,56.88995775163305,40,33,70,0.2,103,rough,0.0,5.0,per_gpt,-1
36,1,11,86.05779054676186,58,33,70,0.2,103,rough,1.0,5.0,per_gpt,1
37,2,12,70.99794034296423,48,33,70,0.2,103,rough,2.0,5.0,per_gpt,1
38,3,13,30.6270934850429,21,33,70,0.2,103,rough,3.0,5.0,per_gpt,1
39,4,11,86.05779054676186,61,33,70,0.2,103,rough,4.0,5.0,per_gpt,2
40,5,12,70.99794034296423,51,33,70,0.2,103,rough,5.0,5.0,per_gpt,1
41,0,14,13.785479215024079,8,27,64,0.4,104,rough,0.0,5.0,per_gpt,-1
42,1,15,38.9657025584171,26,27,64,0.4,104,rough,1.0,5.0,per_gpt,1
43,2,16,62.21130365145547,39,27,64,0.4,104,rough,2.0,5.0,per_gpt,1
44,3,17,75.55603954098976,48,27,64,0.4,104,rough,3.0,5.0,per_gpt,1
45,4,18,100.0,64,27,64,0.4,104,rough,4.0,5.0,per_gpt,1
46,5,19,83.7687101803423,55,27,64,0.4,104,rough,5.0,5.0,per_gpt,1
47,0,20,26.748672561281637,16,17,66,0.6,105,rough,0.0,5.0,per_gpt,-1
48,1,19,59.571316710318754,41,17,66,0.6,105,rough,1.0,5.0,per_gpt,1
49,2,18,72.26091630829404,48,17,66,0.6,105,rough,2.0,5.0,per_gpt,1
50,3,17,90.4191021346332,59,17,66,0.6,105,rough,3.0,5.0,per_gpt,1
51,4,16,74.57633852229868,51,17,66,0.6,105,rough,4.0,5.0,per_gpt,1
52,5,15,45.75577789159396,30,17,66,0.6,105,rough,5.0,5.0,per_gpt,1
53,0,23,23.23678397811582,14,6,73,0.8,106,rough,0.0,5.0,per_gpt,-1
54,1,22,15.20783413885547,10,6,73,0.8,106,rough,1.0,5.0,per_gpt,1
55,2,24,65.90812806609082,48,6,73,0.8,106,rough,2.0,5.0,per_gpt,2
56,3,25,100.0,74,6,73,0.8,106,rough,3.0,5.0,per_gpt,1
57,4,26,97.63356965186142,73,6,73,0.8,106,rough,4.0,5.0,per_gpt,1
58,5,25,100.0,71,6,73,0.8,106,rough,5.0,5.0,per_gpt,1
59,0,20,48.79354979703924,34,6,71,0.0,107,rough,0.0,5.0,per_gpt,-1
60,1,19,81.79174035888768,59,6,71,0.0,107,rough,1.0,5.0,per_gpt,1
61,2,18,99.3617036115647,69,6,71,0.0,107,rough,2.0,5.0,per_gpt,1
62,3,17,66.95509431437915,46,6,71,0.0,107,rough,3.0,5.0,per_gpt,1
63,4,19,81.79174035888768,58,6,71,0.0,107,rough,4.0,5.0,per_gpt,2
64,5,18,99.3617036115647,69,6,71,0.0,107,rough,5.0,5.0,per_gpt,1
65,0,5,23.51463942095936,15,30,65,0.2,108,rough,0.0,5.0,per_gpt,-1
66,1,6,53.51885397760904,33,30,65,0.2,108,rough,1.0,5.0,per_gpt,1
67,2,7,40.328288404099425,26,30,65,0.2,108,rough,2.0,5.0,per_gpt,1
68,3,8,16.07840037449257,11,30,65,0.2,108,rough,3.0,5.0,per_gpt,1
69,4,6,53.51885397760904,33,30,65,0.2,108,rough,4.0,5.0,per_gpt,2
70,5,7,40.328288404099425,26,30,65,0.2,108,rough,5.0,5.0,per_gpt,1
71,0,13,69.90578638337398,42,13,61,0.4,109,rough,0.0,5.0,per_gpt,-1
72,1,14,85.73016022569281,53,13,61,0.4,109,rough,1.0,5.0,per_gpt,1
73,2,15,60.98707450014589,35,13,61,0.4,109,rough,2.0,5.0,per_gpt,1
74,3,16,51.13021142354829,33,13,61,0.4,109,rough,3.0,5.0,per_gpt,1
75,4,12,54.873846046833386,35,13,61,0.4,109,rough,4.0,5.0,per_gpt,4
76,5,11,39.74357194767751,24,13,61,0.4,109,rough,5.0,5.0,per_gpt,1
77,0,20,25.17163658181758,18,38,74,0.2,10,rough,0.0,10.0,per_gpt,-1
78,1,19,34.08896701244219,24,38,74,0.2,10,rough,1.0,10.0,per_gpt,1
79,2,21,19.38193418110108,14,38,74,0.2,10,rough,2.0,10.0,per_gpt,2
